suburb,incident_date,injuries,offender,victim,
Corio,21/12/12,,Pitbulls,,
Geelong,26/11/12,,Bitza,Dog,
,18/12/12,Ripped Skin,Jack Russel,Alpaca,
Norlane,23/12/12,Bitten Lip,Small Dog,Child,
Indented Head,9/12/12,SevereTearing,Bull Dog,Dog,
Bell Park,1/1/11,Brocken Skin,Shih Tzu,Person,
Lara,2/1/11,Death,Unknown,Foal,
Wallington,11/4/11,Death,Labradors,Chickens,
East Geelong,13/1/11,Unknown,Ridgeback                                                                                                                                                                                                                                  Cross,Person,
Geelong,19/1/11,Death,Cavalier KC Spaniel,Chickens,
Whittington,20/1/11,Unknown,Unknown,Dog,
Bell Park,19/1/11,Severe tearing,Pitbull,Dog,
Grovedale,21/1/11,Nil,Mastiff,Dog,
Norlane,23/1/11,Death,Bull Mastiff,Chickens,
Leopold,24/1/11,Death,Staffies,Cat,
Corio,24/1/11,Death (PTS),Husky,Cat,
Whittington,20/1/11,Unknown,Unknown,Dog,
Belmont,4/2/11,Unknown,Jack Russel,Dog,
St Albans Park,9/2/11,Death                                                                                                                                                                                                                                                                 (PTS),Staffy,Cat,
Grovedale,3/2/11,Bruising,Bull Mastif,Dog,
Corio,11/2/11,Bruising,Kangal,Dog,
Unknown,7/2/11,Puncture wound,labrador,Person,
Norlane,26/2/11,Puncture wounds,Rotti,Person,
Grovedale,22/2/11,Puncture wounds,Weimaraner,Person,
